city,state,country,first_name,last_name,agent,publication_date
Utica,New York,USA,T,Woodson,local,02-21-1844
Utica,New York,USA,James,Fontain,local,02-21-1844
Van Wert,Ohio,USA,H,Taylor,local,04-17-1844
Warren,Ohio,USA,A,Moore,local,02-21-1844
Warren,Ohio,USA,A,Day,local,05-15-1844
Wilmington,Ohio,USA,S,Depp,traveling,NA
Xenia,Ohio,USA,W,Roberts,local,02-21-1844
Xenia,Ohio,USA,Rev D,Winslow,traveling,02-21-1844
Zanesville,Ohio,USA,Rev Geo,Coleman,traveling,02-21-1844
Zanesville,Ohio,USA,B,Messer,local,02-28-1844
Zanesville,Ohio,USA,H,Nusum,local,02-28-1844
Zanesville,Ohio,USA,W,Gasaway,local,02-28-1844
Zanesville,Ohio,USA,I,Martin,local,NA
Batavia,New York,USA,W,Johnson,local,02-28-1844
Boston,Massachusetts,USA,J T,Hilton,local,02-28-1844
Brockport,New York,USA,A,Peck,local,02-28-1844
Buffalo,New York,USA,W W,Brown,local,02-28-1844
Buffalo,New York,USA,A H,Francis,local,02-28-1844
Butler,Ohio,USA,J,Yancy,traveling,04-24-1844
Butler,Ohio,USA,S,Jones,traveling,04-24-1844
Champaign,Ohio,USA,D,Lancaster,local,04-24-1844
Chillicothe,Ohio,USA,R W,Chancellor,local,03-20-1844
Chillicothe,Ohio,USA,James,Leach,local,03-20-1844
Cincinnati,Ohio,USA,Rev C,Satchel,traveling,03-20-1844
Cincinnati,Ohio,USA,Rev M M,Clark,traveling,03-20-1844
Cincinnati,Ohio,USA,W W,Watson,local,04-17-1844
Cincinnati,Ohio,USA,A M,Sumner,local,04-17-1844
Cincinnati,Ohio,USA,W M,Yancy,local,04-17-1844
Circleville,Ohio,USA,W,Scott,local,02-28-1844
Circleville,Ohio,USA,H,Glasspy,local,07-17-1844
Circleville,Ohio,USA,G,Stanup,local,07-17-1844
Cleveland,Ohio,USA,J,Malvin,local,02-28-1844
Cleveland,Ohio,USA,J L,Watson,local,02-28-1844
Cleveland,Ohio,USA,R D,Kenney,local,03-20-1844
Columbus,Ohio,USA,Rev W,Shelton,traveling,02-28-1844
Columbus,Ohio,USA,Rev T,Lawrence,traveling,02-28-1844
Crawford,Ohio,USA,A,Allen,local,04-24-1844
Dayton,Ohio,USA,T,Jefferson,local,02-28-1844
Detroit,Michigan,USA,H,Bibb,local,NA
Detroit,Michigan,USA,R,Banks,local,02-28-1844
Detroit,Michigan,USA,W C,Monroe,local,02-28-1844
Dublin,Ohio,USA,S,White Jr,local,02-28-1844
East Liberty,Ohio,USA,E C,Tyner,traveling,NA
Gallipolis,Ohio,USA,H,Bell,local,02-28-1844
Gallipolis,Ohio,USA,J,Gee,local,02-28-1844
Geneva,New York,USA,J W,Duffin,local,02-28-1844
Granville,Ohio,USA,T,Walker,local,04-24-1844
Greenfield,Ohio,USA,A J,Scot,local,10-02-1844
Hamilton,Ohio,USA,Rev W C,Yancy,traveling,02-28-1844
Hamilton,Ohio,USA,J,Simpson,local,02-28-1844
Hillsboro,Ohio,USA,J,Tailor,local,02-28-1844
Hillsboro,Ohio,USA,N,Tailor,local,02-28-1844
Indianapolis,Indiana,USA,J G,Bretton,local,02-28-1844
Jackson,Ohio,USA,N,Nukes,local,02-28-1844
Jackson,Ohio,USA,Rev T,Woodson,local,02-28-1844
Lafayette,Indiana,USA,S B,Webster,local,04-24-1844
Lancaster,Ohio,USA,S,Smith,local,03-20-1844
Lancaster,Ohio,USA,N,Smith,local,03-20-1844
Lancaster,Ohio,USA,I,Martin,local,04-24-1844
Lebanon,Ohio,USA,T,Benford,local,02-28-1844
Lebanon,Ohio,USA,S,Lewis,local,10-16-1844
Licking,Ohio,USA,F J,Bailes,local,07-17-1844
Liverpool,Merseyside,England,E R,Lewis,local,10-02-1844
Lockbourne,Ohio,USA,E C,Tyner,local,02-28-1844
Lockport,New York,USA,A,Outley,local,02-28-1844
Logan County,Ohio,USA,D D,Day,local,04-24-1844
Logan County,Ohio,USA,K,Artis,local,02-28-1844
Logan County,Ohio,USA,Rev M T,Nusum,traveling,02-28-1844
Logan County,Ohio,USA,Sen K,Artis Jr,local,03-20-1844
Lower Sandusky,Ohio,USA,A,Winfield,local,02-28-1844
Madison,Iowa,USA,A,Duncan,local,02-28-1844
Madison County,Ohio,USA,C,Lewis,local,08-14-1844
Massillon,Ohio,USA,J,Thompson,local,02-28-1844
Massillon,Ohio,USA,Rev J,Thomas,traveling,02-28-1844
Mercer County,Ohio,USA,Rev S,Jones,local,07-17-1844
Miami County,Ohio,USA,T,Anderson,local,04-24-1844
Miami County,Ohio,USA,R,Smith,local,04-24-1844
Morgan county,Ohio,USA,Lloyd E,Guy,local,02-28-1844
Mt. Pleasant,Ohio,USA,Elijah,Sawyer,local,02-28-1844
Mt. Pleasant,Ohio,USA,Rev W M,Newmon,traveling,02-28-1844
Mt. Vernon,Ohio,USA,O,Martin,local,02-28-1844
New Albany,Indiana,USA,G W,Carter,local,06-26-1844
New York City,New York,USA,Chris B,Ray,local,02-28-1844
New York City,New York,USA,T S,Wright,local,02-28-1844
Newark,Ohio,USA,G W,Roots,local,06-05-1844
Newark,Ohio,USA,W,Jenkins,local,02-28-1844
Newark,Ohio,USA,H,Robinson,local,02-28-1844
Oberlin,Ohio,USA,J M,Brown,local,10-02-1844
Oberlin,Ohio,USA,T,Fisher,local,07-10-1844
Oberlin,Ohio,USA,A,Jones,local,02-28-1844
Oberlin,Ohio,USA,W P,Newman,local,02-28-1844
Piketon,Ohio,USA,W,Evans,local,03-20-1844
Pittsburgh,Pennsylvania,USA,J B,Vashon,local,03-20-1844
Putnam,Ohio,USA,J,Thomas,local,02-28-1844
Richmond,Ohio,USA,C,Oston,local,03-27-1844
Rochester,New York,USA,J,Sharp,local,03-27-1844
Sardinia,Ohio,USA,Rev E,Cumberland,traveling,02-28-1844
Sardinia,Ohio,USA,Rev,Fox,traveling,02-28-1844
Sharonville,Ohio,USA,D,Lucus,local,03-27-1844
Sharonville,Ohio,USA,C,Smith,local,03-27-1844
Sharonville,Ohio,USA,W,Polson,local,03-27-1844
Shelby County,Ohio,USA,H,Galloway,local,06-05-1844
Shelby County,Ohio,USA,A N,Redmon,local,06-05-1844
Shelby County,Ohio,USA,J,Robertson,local,04-24-1844
Springfield,Ohio,USA,W,Piles,local,02-28-1844
Springfield,Ohio,USA,Rev T,Roberts,traveling,02-28-1844
Springfield,Ohio,USA,R,Piles,local,02-28-1844
Steubenville,Ohio,USA,Wm,Ferris,local,02-28-1844
Summerton,Ohio,USA,A,Harper,local,02-28-1844
Terre Haute,Indiana,USA,E,Roy,local,04-24-1844
Trenton,Ohio,USA,Jas,Simpson,local,02-28-1844
Troy,New York,USA,H H,Garnett,local,02-28-1844
U Moody,Ohio,USA,C H,Langston,local,03-20-1844
U Moody,Ohio,USA,J,Burnett,local,03-20-1844
Urbana,Ohio,USA,L,Adams,local,02-28-1844
Urbana,Ohio,USA,A,Kane,local,02-28-1844
Utica,New York,USA,T,Woodson,local,02-28-1844
Utica,New York,USA,James,Fontain,local,02-28-1844
Van Wert,Ohio,USA,H,Taylor,local,04-24-1844
Warren,Ohio,USA,A,Moore,local,02-28-1844
Warren,Ohio,USA,A,Day,local,05-22-1844
Wilmington,Ohio,USA,S,Depp,traveling,NA
Xenia,Ohio,USA,W,Roberts,local,02-28-1844
Xenia,Ohio,USA,Rev D,Winslow,traveling,02-28-1844
